A.F.M.,Stoixeia Ofeileti,Dieythynsi Edras,"T.K., Perioxi","Basiki ofeili D.O.Y.,Elegktika Kentra",Basiki ofeili Teloneion,Syneisprattomena Dimosiou,Synolo Dimosiou,Basiki ofeili e-E.F.K.A.,Syneisprattomena e-E.F.K.A.,Synolo e-E.F.K.A.,Paratiriseis,Syntetagmenes
94383670,Ι ΠΑΝΑΓΙΩΤΙΔΗΣ ΑΕ ΕΙΣΑΓΩΓΗΣ ΚΑΙ ΕΜΠΟΡΙΑΣ ΔΕΡΜΑΤΙΝΩΝ,ΖΕΑΣ 101-103,18534 ΠΕΙΡΑΙΑΣ,"2.084.278,30",-,"2.205.250,09","4.289.528,39",-,-,-,.,"(37.9410006, 23.6524114)"
998510856,ATHENS WAGEN LEASE RENT ΕΙΣΑΓΩΓΗ ΕΜΠΟΡΙΑ ΕΝΟΙΚΙΑΣΗ ΑΥΤΟΚΙΝΗΤΩΝ ΜΟΝΟΠΡΟΣΩΠΗ ΕΠΕ,ΑΡΙΣΤΟΤΕΛΟΥΣ 79  ΚΑΙ  ΑΡΙΣΤΕΙΔΟΥ 5Α,15344 ΓΕΡΑΚΑΣ,"1.719.036,11","705.961,57","1.862.178,14","4.287.175,82",-,-,-,.,"(38.0279108, 23.8534995)"
999716438,ΠΡΟΜΗΘΕΥΣ ΨΥΧΑΓΩΓΙΚΗ ΑΝΩΝΥΜΟΣ ΕΤΑΙΡΙΑ,26 ΟΚΤΩΒΡΙΟΥ 15,54627 ΘΕΣΣΑΛΟΝΙΚΗ,"1.677.373,60",-,"1.474.920,78","3.152.294,38","566.800,72","565.587,14","1.132.387,86",.,"(40.641423, 22.9162146)"
94453861,ΡΟΤΟΡ ΑΝΩΝΥΜΗ ΤΕΧΝΙΚΗ ΕΤΑΙΡΕΙΑ ΜΕΛΕΤΩΝ ΚΑΙ ΓΕΝΙΚΩΝ ΚΑΤΑΣΚΕΥΩΝ,ΣΠΟΡΑΔΩΝ 7,54655 ΘΕΣΣΑΛΟΝΙΚΗ,"2.693.262,55",-,"1.583.075,13","4.276.337,68",-,-,-,.,"(40.5966554, 22.9534013)"
95226490,ΜΠΑΤΣΟΛΑΚΗΣ Λ ΓΕΩΡΓΙΟΣ ΕΠΕ ΥΠΟ,ΕΠΙΔΑΥΡΟΥ 11,18233 ΑΓ Ι ΡΕΝΤΗΣ,-,-,-,-,"1.489.316,02","2.786.631,85","4.275.947,87",.,"(37.9684893, 23.667258)"
94390126,ΔΙΑΔΟΧΟΙ Κ ΧΑΡΑΜΗ ΑΕ ΕΚΜΕΤ ΚΑΙ ΟΡΓΑΝ ΕΙΔΩΝ ΕΣΤΙΑΣΕΩΣ,Κ ΠΑΛΑΙΟΛΟΓΟΥ 13,18535 ΠΕΙΡΑΙΑΣ,"902.556,59",-,"1.673.483,90","2.576.040,49","621.534,83","1.076.184,84","1.697.719,67",.,"(37.9406262, 23.6456416)"
82650017,ΑΒΡΑΜΙΔΗΣ ΣΤΑΥΡ ΚΑΙ ΣΙΑΟΕ,ΠΑΠΑΦΗ 55,54638 ΘΕΣΣΑΛΟΝΙΚΗ,"1.423.965,96",-,"2.848.140,16","4.272.106,12",-,-,-,.,"(40.6171454, 22.9649478)"
95366554,ΟΥΡΑΝΙΟ ΤΟΞΟ ΕΠΕ,ΝΙΚΗΣ 3,56431 ΣΤΑΥΡΟΥΠΟΛΗ,"1.415.148,33",-,"2.853.157,27","4.268.305,60",-,-,-,.,"(40.6665049, 22.9260107)"
97807661,ΑΙΓΑΙΟΝ Π ΝΑΥΤΙΚΗ ΕΤΑΙΡΕΙΑ,ΙΙΑΣ ΜΕΡΑΡΧΙΑΣ 9,18535 ΠΕΙΡΑΙΑΣ,"1.422.578,67",-,"2.845.056,14","4.267.634,81",-,-,-,.,"(37.9429857, 23.6469832)"
94434103,ΑΘΗΝΑΙΚΗ ΔΟΜΙΚΗ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ,ΛΕΩΦ ΠΕΝΤΕΛΗΣ 96,15235 ΒΡΙΛΗΣΣΙΑ,"2.170.375,37",-,"2.093.609,10","4.263.984,47",-,-,-,.,"(38.0416682, 23.8329765)"
94195900,ΑΦΟΙ ΜΕΛΚΟΝΙΑΝ ΑΕ,9 ΧΛΜ ΚΟΜΟΤΗΝΗΣ ΑΛΕΞΑΝΔΡΟΥΠΟΛΗΣ 0,69100 ΚΟΜΟΤΗΝΗ,"1.416.738,96",-,"2.844.171,08","4.260.910,04",-,-,-,.,"(41.1224394, 25.4065582)"
94256748,ΕΝΔΥΣΗ ΑΕ ΒΙΟΤΕΧΕΜΠΟΡΕΞΑΓΩΓΙΚΗ ΕΤΑΙΡΕΙΑ,7ΟΝ ΧΙΛ ΘΕΣΣΑΛ ΛΑΓ 0,57200 ΛΑΓΚΑΔΑΣ,"1.122.320,93",-,"3.138.456,19","4.260.777,12",-,-,-,.,"(40.7512099, 23.0695911)"
94189420,ΛΕΒΑΝΤ ΠΑΡΑΓΩΓΗ ΚΑΙ ΕΜΠΟΡΙΑ ΑΠΟΡΡΥΠΑΝΤΙΚΩΝ ΑΕ,ΧΡΥ  ΣΜΥΡΝΗΣ 20,57200 ΛΑΓΚΑΔΑΣ,"1.582.322,84",-,"1.675.778,52","3.258.101,36","375.967,80","626.063,43","1.002.031,23",.,"(40.7324708, 23.1203315)"
81710900,ΔΡΙΖΟΣ ΝΙΚΟΛΑΟΣ Ν  ΚΑΙ ΣΙΑ ΟΕ,ΕΥΑΓΓΕΛΙΣΤΡΙΑΣ 22,10560 ΑΘΗΝΑ,"1.420.151,85",-,"2.839.400,54","4.259.552,39",-,-,-,.,"(37.9771459, 23.7296504)"
94133263,ΠΑΠΑΓΑΛΟΣ ΑΒΕ ΑΕ,ΠΑΣΕΙΔΩΝΟΣ 73,17562 Π ΦΑΛΗΡΟ,"1.412.794,80",-,"2.840.152,94","4.252.947,74",-,-,-,.,"(37.918396, 23.701452)"
99836234,ΣΙΩΚΑΣ ΘΕΟΔΩΡΟΣ ΚΑΙ ΣΙΑ ΕΕ,ΚΥΠΡΟΥ 104,41222 ΛΑΡΙΣΑ,"758.247,18",-,"1.151.084,55","1.909.331,73","964.706,40","1.378.328,88","2.343.035,28",.,"(39.6385757, 22.4121212)"
800220084,ΓΕΩΡΓΙΟΣ ΜΕΤΣΙΟΣ ΕΠΕ,ΠΛΑΤΕΙΑ 0,44200 ΜΕΤΣΟΒΟ,"2.528.583,51",-,"1.723.019,18","4.251.602,69",-,-,-,.,"(39.7702467, 21.1828612)"
95228759,ΑΦΟΙ ΙΩΑΝΝΟΥ ΕΠΕ,ΚΥΠΡΟΥ 12 Α,18346 ΜΟΣΧΑΤΟ,"1.414.211,42",-,"2.085.420,91","3.499.632,33","267.096,11","484.708,81","751.804,92",.,"(37.9608451, 23.6928179)"
94438624,ΑΝΕΜ ΕΠΙΧΕΙΡΗΣΕΙΣ ΠΑΡΑΓΩΓΗΣ ΚΑ,ΦΟΙΒΗΣ ΚΑΙ ΕΥΑΓΓΕΛΙΣΤΡΙΑΣ 50,16674 ΓΛΥΦΑΔΑ,-,-,-,-,"1.646.496,75","2.604.725,20","4.251.221,95",.,"(37.8601873, 23.7567082)"
95146350,ΠΡΩΤΟΠΑΠΠΑ ΑΦΟΙ ΕΠΕ,ΘΕΣΗ ΦΑΝΑΡΙ ΜΑΡΚΟΠΟΥΛΟ ΩΡΩΠΟΥ 0,19003 ΜΑΡΚΟΠΟΥΛΟ,"2.465.208,04",-,"1.782.582,99","4.247.791,03",-,-,-,.,"(38.2892237, 23.8248958)"
999642181,ΖΑΛΟΥΜΙΝ ΖΑΧΑΡΟΠΟΥΛΟΣ ΑΝΩΝΥΜΗ ΕΜΠΟΡΙΚΗ ΒΙΟΜΗΧΑΝΙΚΗ ΕΤΑΙΡΕΙΑ,ΡΑΔΙΟΦΩΝΙΑΣ 8,13122 ΙΛΙΟΝ,"1.360.312,25",-,"1.749.900,42","3.110.212,67","447.554,97","687.502,69","1.135.057,66",.,"(38.0395325, 23.7148588)"
94013253,ΣΤΑΚΟΡ ΑΒΕΕΑ ΑΝΩΝΥΜΟΣ ΒΙΟΜΗΧΑΝΙΚΗ ΕΜΠΟΡΙΚΗ ΕΤΑΙΡΕΙΑ ΑΥΤΟΚΙΝΗΤΩΝ,ΑΘΗΝΩΝ 108,10447 ΑΘΗΝΑ,"2.012.259,26",-,"1.181.096,50","3.193.355,76","650.258,83","401.037,96","1.051.296,79",.,"(37.9902782, 23.7037448)"
81682921,ΚΕΧΑΓΙΑΣ ΠΑΝ ΚΑΙ ΣΙΑ ΟΕ,Λ ΔΗΜΟΚΡΑΤΙΑΣ 30,18756 ΚΕΡΑΤΣΙΝΙ,"1.634.903,37",-,"2.130.526,92","3.765.430,29","181.776,88","297.428,79","479.205,67",.,"(37.9579163, 23.6266128)"
94327242,ΑΝΩΝΥΜΟΣ ΕΜΠΟΡΙΚΗ ΕΤΑΙΡΕΙΑ ΓΡΑΦΙΚΕΣ ΤΕΧΝΕΣ ΕΚΤΥΠΩΣΕΙ,ΛΑΣΚΑΡΕΩΣ 13,11471 ΑΘΗΝΑ,"1.404.644,56",-,"2.839.421,19","4.244.065,75",-,-,-,.,"(37.9865641, 23.7450382)"
90183331,ΚΕΝΤΡΙΚΗ ΟΡΓ ΚΑΙ ΕΚΤΕΠΙΤΡΓΙΑ Τ,ΚΗΦΙΣΙΑΣ 37,15123 ΜΑΡΟΥΣΙ,-,-,-,-,"1.493.129,07","2.750.499,28","4.243.628,35",.,"(38.0339941, 23.7951032)"
94453744,ΕΜΠΟΡΙΑ ΔΙΑΝΟΜΕΣ ΠΟΤΩΝ ΚΑΙ ΤΡΟΦΙΜΩΝ ΑΕ,ΗΛΙΟΥΠΟΛΕΩΣ ΒΙΟΤΕΧΝΙΚΟ ΠΑΡΚΟ ΩΡΑΙΟΚΑΣΤΡΟΥ 0,57013 ΩΡΑΙΟΚΑΣΤΡΟ,"968.084,66",-,"1.421.995,90","2.390.080,56","879.743,07","968.556,46","1.848.299,53",.,"(40.6965076, 22.9133629)"
94096564,ΒΙΟΜΗΧΑΝΙΚΗ ΜΕΤΑΛΛΕΥΤΙΚΗ ΑΕ,ΛΑΕΡΤΟΥ 21 23 25 ΚΑΙ ΧΑΛΚΗΣ  ΤΑΧ ΘΥΡ 32 38-40-42,55102 ΚΑΛΑΜΑΡΙΑ,-,-,-,-,"2.388.334,38","1.847.144,46","4.235.478,84",.,"(40.5575739, 22.9846624)"
94201621,ΕΥΡΩΤΟΥΡΙΣΤΙΚΗ,ΚΑΛΑΠΟΘΑΚΗ 4,54624 ΘΕΣΣΑΛΟΝΙΚΗ,"1.410.537,38",-,"2.821.150,06","4.231.687,44",-,-,-,.,"(40.6335062, 22.9388546)"
93047603,ΔΕΙΛΙΝΑ Θ ΚΑΙ Β ΜΙΧΑΗΛΙΔΗΣ ΚΑΙ ΣΙΑ ΕΕ,5Η ΣΤΑΣΗ ΕΛΛΗΝΙΚΟΥ 0,16777 ΕΛΛΗΝΙΚΟ,"1.667.745,87",-,"2.563.676,48","4.231.422,35",-,-,-,.,"(37.8798636, 23.7311594)"
82438946,ΚΩΝ/ΝΟΣ Ν. ΠΑΝΟΥΣΗΣ KΑΙ ΣΙΑ Ο.Ε,ΔΡΥΜΩΝΑΣ 0,48200 ΦΙΛΙΠΠΙΑΔΑ,"1.403.589,69",-,"2.826.094,89","4.229.684,58",-,-,-,.,"(39.2076669, 20.8809509)"
998936056,ΠΡΟΦΙΤΕΛ ΣΥΣΤΗΜΑΤΑ ΚΑΙ ΥΠΗΡΕΣΙΕΣ ΤΗΛΕΠΙΚΟΙΝΩΝΙΩΝ ΑΝΩΝΥΜΗ ΕΤΑΙΡΙΑ,ΚΩΣΤΑ ΒΑΡΝΑΛΗ 11,15232 ΧΑΛΑΝΔΡΙ,"3.227.725,42",-,"999.799,96","4.227.525,38",-,-,-,.,"(38.0238287, 23.8002623)"
84050763,ΠΕΠΠΑΣ Σ ΚΑΙ ΣΙΑ ΟΕ,ΑΓΙΟΙ ΑΠΟΣΤΟΛΟΙ 0,19017 ΚΑΛΑΜΟΣ,"2.123.532,86",-,"2.102.848,26","4.226.381,12",-,-,-,.,"(38.2940105, 23.9176953)"
99759783,EUROPEAN SEC ΙΔΙΩΤΙΚΗ ΕΠΙΧΕΙΡΗΣΗ ΥΠΗΡΕΣΙΩΝ ΑΣΦΑΛΕΙΑΣ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ,ΑΣΠΑΣΙΑΣ ΚΑΨΑΛΑ ΚΑΙ ΔΕΛΦΩΝ 0,15125 ΜΑΡΟΥΣΙ,"228.557,54",-,"443.701,89","672.259,43","1.341.881,81","2.211.785,23","3.553.667,04",.,"(38.038641, 23.8168223)"
99938853,GOLDEN YEARS ΞΕΝΟΔΟΧΕΙΑΚΗ ΚΑΙ ΤΟΥΡΙΣΤΙΚΗ ΑΝΩΝΥΜΗ ΕΤΑΙΡΙΑ,Μ  ΚΟΤΟΠΟΥΛΗ 3,10431 ΑΘΗΝΑ,"302.520,18",-,"514.738,46","817.258,64","1.277.306,58","2.127.439,62","3.404.746,20",.,"(37.8361856, 23.8185566)"
800579110,N G INTIMO ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡΕΙΑ,ΙΩΑΝΝΟΥ ΧΡΥΣΟΣΤΟΜΟΥ 94,13231 ΠΕΤΡΟΥΠΟΛΗ,"2.851.134,60",-,"1.369.293,84","4.220.428,44",-,-,-,.,"(38.0371605, 23.6925852)"
82727547,ΛΑΛΙΩΤΗ ΑΦΟΙ ΟΕ,ΧΑΛΑΝΔΡΙΤΣΑ 0,25008 ΧΑΛΑΝΔΡΙΤΣΑ,"1.670.616,41",-,"2.540.366,28","4.210.982,69",-,-,-,.,"(38.1087967, 21.7838411)"
94519370,ΓΙΩΤΗΣ TOURS ΠΡΑΚΤΟΡΕΙΟ ΓΕΝΙΚΟΥ ΤΟΥΡΙΣΜΟΥ ΑΕ,Ν ΚΟΥΝΤΟΥΡΙΩΤΟΥ 19,54625 ΘΕΣΣΑΛΟΝΙΚΗ,"1.424.734,55",-,"2.782.113,18","4.206.847,73",-,-,-,.,"(40.6521908, 22.9467341)"
999676264,ΓΥΜΝΑΣΤΙΚΟΣ ΣΥΛΛΟΓΟΣ ΕΡΓΟΤΕΛΗΣ  ΠΟΔΟΣΦΑΙΡΙΚΗ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ,ΝΙΚ ΠΛΑΣΤΗΡΑ 1,71305 ΗΡΑΚΛΕΙΟ,"1.703.470,12",-,"1.850.785,42","3.554.255,54","364.569,50","287.522,73","652.092,23",.,"(35.3322861, 25.1593874)"
94435124,ΜΠΕΣΤ ΣΤΟΠ ΑΝΩΝΥΜΗ ΕΜΠΟΡΙΚΗ ΤΟΥΡΙΣΤΙΚΗ ΕΤΑΙΡΕΙΑ,ΜΑΡΑΘΩΝΟΣ 5Α,15235 ΒΡΙΛΗΣΣΙΑ,"942.648,71",-,"1.526.449,77","2.469.098,48","713.255,68","1.022.472,40","1.735.728,08",.,"(38.030566, 23.826939)"
94266000,ΠΟΔΟΣΦΑΙΡΙΚΗ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ ΠΟΔΟΣΦΑΙΡΙΚΟΣ ΣΥΛΛΟΓΟΣ Η ΚΑΛΑΜΑΤΑ  ΠΑΕ ΠΣ Η ΚΑΛΑΜΑΤΑ,ΙΑΤΡΟΠΟΥΛΟΥ ΔΑΓΡΕ 24,24100 ΚΑΛΑΜΑΤΑ,"1.257.697,91",-,"2.411.555,62","3.669.253,53","236.650,49","296.448,18","533.098,67",.,"(37.0375202, 22.1106616)"
999767788,Κ ΚΑΡΒΟΥΝΗ ΚΑΙ ΣΙΑ ΕΕ,ΒΑΣ  ΟΛΓΑΣ 142,54655 ΘΕΣΣΑΛΟΝΙΚΗ,"3.235.780,05",-,"607.390,93","3.843.170,98","214.489,20","140.837,19","355.326,39",.,"(40.6013421, 22.9534183)"
94185548,ΔΡΕΣ Α ΑΝΤΙΠΡ ΔΙΑΝ ΕΜΠΟΡΙΟ ΤΡΟΦ ΚΑΛ ΑΕΕ,ΠΑΡ ΤΣΕΡΤΙΔΟΥ 41,26335 ΠΑΤΡΑ,"2.081.096,40",-,"2.113.786,87","4.194.883,27",-,-,-,.,"(38.2076285, 21.7354796)"
81973066,HUNTER ΑΕ ΕΙΣΑΓΩΓΙΚΗ ΚΑΙ ΕΞΑΓΩΓΙΚΗ ΕΤΑΙΡΕΙΑ ΔΕΡΜΑΤΙΝΩΝ ΕΙΔΩΝ ΥΠΟΔΗΜΑΤΩΝ ΕΝΔΥΣΕΩΣ ΑΡΩΜΑΤΟΠΟΙΙΑΣ ΛΕΥΚΩ,ΥΔΡΑΣ 16,18346 ΜΟΣΧΑΤΟ,"1.244.991,31",-,"757.728,22","2.002.719,53","1.314.070,70","872.889,51","2.186.960,21",.,"(37.9636513, 23.6933833)"
95281050,ΔΙΑΜΑΝΤΟΠΟΥΛΟΙ ΑΦΟΙ,ΜΕΣΟΓΕΙΩΝ 256,15562 ΧΟΛΑΡΓΟΣ,"1.956.538,05",-,"2.231.962,36","4.188.500,41",-,-,-,.,"(38.0059234, 23.7977968)"
82375494,Σ ΜΠΑΦΙΤΗΣ Ι ΜΠΟΖΙΚΗΣ ΟΕ,Π ΤΣΑΛΔΑΡΗ 65,12136 ΠΕΡΙΣΤΕΡΙ,"1.408.629,72",-,"2.778.555,51","4.187.185,23",-,-,-,.,"(37.9680781, 23.7002196)"
99319986,ΠΤΟΛΕΜΑΙΔΑ ΑΝΩΝΥΜΗ ΤΕΧΝΙΚΗ ΕΤΑΙΡΙΑ,ΑΙΔΙΝΙΟΥ 3,50200 ΠΤΟΛΕΜΑΙΔΑ,"1.591.367,71",-,"2.593.925,75","4.185.293,46",-,-,-,.,"(40.5080544, 21.6710565)"
99557884,BONTE INVESTMENTS LIMITED,ΑΝΩ ΔΙΑΚΟΦΤΗ 0,84600 ΜΥΚΟΝΟΣ,"2.177.038,42",-,"2.007.994,10","4.185.032,52",-,-,-,.,"(37.4232038, 25.3113065)"
93877334,ΓΕΩΡΓΙΟΣ ΜΙΓΚΟΣ ΚΑΙ ΣΙΑ ΕΕ,ΤΡΙΛΟΦΟΣ 0,57500 ΕΠΑΝΟΜΗ,"1.386.661,88",-,"2.798.039,89","4.184.701,77",-,-,-,.,"(40.4289764, 22.9304174)"
998249220,SPECIFIC PROTECTION SERVICES ΙΔΙΩΤΙΚΗ ΕΠΙΧΕΙΡΗΣΗ ΠΑΡΟΧΗΣ ΥΠΗΡΕΣΙΩΝ ΑΣΦΑΛΕΙΑΣ ΜΟΝΟΠΡΟΣΩΠΗ ΕΠΕ,ΙΠΠΟΚΡΑΤΟΥΣ 69,19016 ΑΡΤΕΜΗ,"1.315.578,57",-,"918.318,80","2.233.897,37","947.650,54","1.001.917,51","1.949.568,05",.,"(37.9979872, 24.0142546)"
95464129,ALTRONIC ΙΔΙΩΤΙΚΗ ΕΠΙΧΕΙΡΗΣΗ ΗΛΕΚΤΡΟΝΙΚΩΝ ΣΥΣΤΗΜΑΤΩΝ ΚΑΙ ΠΑΡΟΧΗΣ ΥΠΗΡΕΣΙΩΝ ΑΣΦΑΛΕΙΑΣ ΕΤΑΙΡΕΙΑ ΠΕΡΙΟΡ,ΑΧ ΠΑΡΑΣΧΟΥ 8,11473 ΑΘΗΝΑ,"895.927,18",-,"1.191.809,79","2.087.736,97","939.923,12","1.153.078,43","2.093.001,55",.,"(37.99091610000001, 23.740521)"
81826195,ΑΦΟΙ ΑΝΔΡΕΑΔΗ ΕΠΕ,ΗΛΕΙΑΣ 11,18863 ΠΕΡΑΜΑ,-,-,-,-,"1.586.576,81","2.593.785,95","4.180.362,76",.,"(37.9631903, 23.6050917)"
95223186,ΓΙΟΒΑΠΑΝ ΕΠΕ,ΧΡΥΣΟΒΙΤΣΗΣ 3,14234 Ν ΙΩΝΙΑ,"1.387.793,49",-,"2.792.152,83","4.179.946,32",-,-,-,.,"(38.0410992, 23.7626905)"
95114166,HERDAPO ΕΜΠΟΡΙΚΗ ΕΙΣΑΓΩΓΙΚΗ ΤΕΧΝΙΚΗ ΜΟΝΟΠΡΟΣΩΠΗ ΕΤΑΙΡΕΙΑ ΠΕΡΙΟΡΙΣΜΕΝΗΣ ΕΥΘΥΝΗΣ,ΑΚΤΗ ΜΙΑΟΥΛΗ 73,18537 ΠΕΙΡΑΙΑΣ,"1.381.393,98",-,"2.795.390,93","4.176.784,91",-,-,-,.,"(37.9375018, 23.6395462)"
95341627,RAM EUROPE ΤΕΧΝΙΚΗ ΚΑΤΑΣΚΕΥΑΣΤΙΚΗ ΕΜΠΟΡΙΚΗ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ,1 ΧΙΛ ΟΡΧΟΜ ΚΑΣΤΡ 0,32300 ΟΡΧΟΜΕΝΟΣ,"1.116.061,94",-,"1.027.256,21","2.143.318,15","1.169.402,00","863.692,37","2.033.094,37",.,"(38.4937481, 23.1602932)"
82617322,ΓΕΩΡΓΙΟΣ ΧΑΤΖΗΓΙΑΤΡΟΥΔΑΚΗΣ ΣΙΑ ΟΕ,ΤΕΡΨΙΘΕΑΣ 9,18454 ΝΙΚΑΙΑ,"1.285.622,95",-,"1.979.411,13","3.265.034,08","324.771,74","583.357,61","908.129,35",.,"(37.9742456, 23.6615076)"
94381492,ΚΟΝΤΟΒΕΡΟΣ ΑΝ ΕΜΠ ΚΑΙ ΒΙΟΜ ΕΤ ΚΑΤΕΨΥΓΜΕΝΩΝ ΚΑΙ Ν,ΛΑΚΚΟΣ ΚΑΤΣΑΡΗ 0,19300 ΑΣΠΡΟΠΥΡΓΟΣ,"1.480.537,63",-,"325.021,89","1.805.559,52","1.920.392,67","444.381,20","2.364.773,87",.,"(38.0609063, 23.5910603)"
94382650,ΜΑΡΕ ΚΙΑΡΟ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ ΕΚΜΕΤΑΛΕΥΣΗΣ ΕΣΤΙΑΤΟΡΙΩΝ,ΑΣΚΛΗΠΙΟΥ ΑΛΚΥΟΝΙΔ 1,16673 ΒΟΥΛΑ,"1.425.669,11",-,"2.742.164,84","4.167.833,95",-,-,-,.,"(37.8496628, 23.7586762)"
999681655,ΤΣΙΑΡΑΣ ΜΟΝΟΠΡΟΣΩΠΗ ΕΤΑΙΡΙΑ ΠΕΡΙΟΡΙΣΜΕΝΗΣ ΕΥΘΥΝΗΣ,3 ΧΛΜ  ΛΑΡΙΣΑΣ ΚΑΡΔΙΤΣΑΣ 0,41000 ΛΑΡΙΣΑ,"2.232.761,48",-,"1.933.660,02","4.166.421,50",-,-,-,.,"(39.63902239999999, 22.4191254)"
999718388,Ν ΕΛΕΚΙΔΟΥ Σ ΕΛΕΚΙΔΗΣ ΑΝΩΝΥΜΟΣ ΕΤΑΙΡΙΑ ΕΜΠΟΡΙΑΣ ΚΑΙ ΕΠΕΞΕΡΓΑΣΙΑΣ ΞΥΛΟΥ,ΝΒ 7 Β ΦΑΣΗ  ΕΙΣΟΔΟΣ Γ 0,57400 ΣΙΝΔΟΣ,"992.862,26",-,"1.243.894,01","2.236.756,27","878.974,49","1.050.082,68","1.929.057,17",.,"(40.6717164, 22.8015174)"
94263475,Π Ν ΚΟΥΤΣΟΥΚΟΣ ΑΝΩΝ ΒΙΟΜΗΧ ΕΜΠΟΡ ΕΤ ΠΑΡ  ΚΑΙ  ΕΜΠΟΡ ΚΑΛΛ,ΑΓΗΣΙΛΑΟΥ 36,16675 ΓΛΥΦΑΔΑ,"1.063.079,47",-,"1.276.538,78","2.339.618,25","915.710,67","908.709,96","1.824.420,63",.,"(37.8779972, 23.7579971)"
998604234,ΣΤΥΛΙΑΝΟΣ ΚΟΡΡΕΣ ΚΑΙ ΣΙΑ ΟΕ,ΛΟΥΤΡΟΥ 18,13671 ΑΧΑΡΝΕΣ,"1.790.419,27",-,"1.328.980,31","3.119.399,58","504.763,46","537.200,36","1.041.963,82",.,"(38.0771616, 23.7565421)"
82607170,Κ ΚΑΡΠΟΥΖΑΣ Α ΕΥΘΥΜΙΑΚΟΣ Γ ΚΑΤΣΟΥΡΑΣ ΟΕ,5 ΧΙΛ ΛΑΡ ΚΑΡΔ 0,41000 ΛΑΡΙΣΑ,"1.195.087,49",-,"2.406.178,94","3.601.266,43","192.355,05","366.756,14","559.111,19",.,"(39.63902239999999, 22.4191254)"
999872773,MEGACOM ΑΝΩΝΥΜΗ ΒΙΟΜΗΧΑΝΙΚΗ ΚΑΙ ΕΜΠΟΡΙΚΗ ΕΤΑΙΡΕΙΑ ΠΛΑΣΤΙΚΩΝ ΚΑΙ ΤΥΠΟΠΟΙΗΣΗΣ,ΔΕΡΙΓΝΥ 14Α,10434 ΑΘΗΝΑ,"2.223.349,84",-,"1.930.424,27","4.153.774,11",-,-,-,.,"(37.9948304, 23.7316413)"
95622498,ΔΙΕΘΝΗΣ ΟΡΓΑΝΙΣΜΟΣΑΝΑΚΥΚΛΩΣΗΣ ΜΟΝΟΠΡΟΣΩΠΗ ΕΤΑΙΡΕΙΑ ΠΕΡΙΟΡΙΣΜΕΝΗΣ ΕΥΘΥΝΗΣ,ΠΑΝ ΤΣΑΛΔΑΡΗ 62,12132 ΠΕΡΙΣΤΕΡΙ,"1.709.927,09",-,"2.440.780,92","4.150.708,01",-,-,-,.,"(38.0164754, 23.691995)"
93570115,ΑΛΕΞΗΣ ΠΕΤΡΟΠΟΥΛΟΣ ΚΑΙ ΣΙΑ ΕΒΕΕ,ΘΟΛΟ ΠΟΤΑΜΙ 0,82100 ΧΙΟΣ,"1.382.618,96",-,"2.765.382,97","4.148.001,93",-,-,-,.,"(38.2954018, 26.0726129)"
95348769,ΕΥΡΟΚΑΡΓΚΟ ΕΛΛΑΣ ΕΠΕ,ΗΛΙΟΥΠΟΛΕΩΣ 0,57013 ΩΡΑΙΟΚΑΣΤΡΟ,"1.771.573,50",-,"2.372.783,04","4.144.356,54",-,-,-,.,"(40.6965613, 22.9168757)"
94165261,RONI ΕΞΑΓΩΓ ΕΤΟΙΜΩΝ ΕΝΔΥΜ ΠΛΕΚΤ ΑΕΒΕ,ΧΡΥΣΟΣΠΑΘΗ 21,54629 ΘΕΣΣΑΛΟΝΙΚΗ,"442.386,14",-,"879.559,76","1.321.945,90","982.181,06","1.836.223,32","2.818.404,38",.,"(40.6487561, 22.9259333)"
93524147,Δ ΤΣΙΩΚΟΣ ΚΑΙ ΣΙΑ Ε Ε,ΚΩΝΣΤΑΝΤΙΝΟΥΠΟΛΕΩΣ 1,68200 ΟΡΕΣΤΙΑΔΑ,"1.930.999,83",-,"2.204.880,94","4.135.880,77",-,-,-,.,"(41.4903551, 26.5334588)"
95088887,EXILCO ΤΥΠΟΓΡΑΦΙΚΗ ΕΠΕ,ΠΡΕΜΕΤΗΣ 3,16121 ΚΑΙΣΑΡΙΑΝΗ,"1.377.094,91",-,"2.754.516,18","4.131.611,09",-,-,-,.,"(37.9736157, 23.7534518)"
999911674,ΧΡΗΣΤΟΣ ΣΟΥΦΛΕΡΗΣ ΑΝΩΝΥΜΗ ΒΙΟΜΗΧΑΝΙΚΗ ΚΑΙ ΕΜΠΟΡΙΚΗ ΕΤΑΙΡΕΙΑ,ΚΟΚΚΙΝΟΧΩΜΑ 0,64100 ΕΛΕΥΘΕΡΟΥΠΟΛΗ,"2.674.641,65",-,"1.453.602,06","4.128.243,71",-,-,-,.,"(40.9156544, 24.2547455)"
